               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  74,           0.0092384,           0.0019474,                   0,             0.99997,             0.99931,               0.995,             0.96748,           0.0048048,           0.0011266,                   0,            0.002773,            0.002773,            0.002773
                  75,           0.0090363,           0.0019214,                   0,             0.99996,             0.99931,               0.995,             0.96745,            0.004785,           0.0011223,                   0,            0.002674,            0.002674,            0.002674
                  76,           0.0089392,           0.0019351,                   0,             0.99996,             0.99931,               0.995,             0.96783,           0.0047708,           0.0011182,                   0,            0.002575,            0.002575,            0.002575
                  77,           0.0088308,           0.0019171,                   0,             0.99996,             0.99931,               0.995,             0.96783,           0.0047534,           0.0011135,                   0,            0.002476,            0.002476,            0.002476
                  78,           0.0087712,           0.0018976,                   0,             0.99996,             0.99931,               0.995,             0.96761,           0.0047295,           0.0011091,                   0,            0.002377,            0.002377,            0.002377
                  79,           0.0087175,           0.0018939,                   0,             0.99995,             0.99931,               0.995,             0.96766,           0.0047171,           0.0011048,                   0,            0.002278,            0.002278,            0.002278
                  80,           0.0085867,           0.0018741,                   0,             0.99995,             0.99931,               0.995,             0.96814,           0.0046991,           0.0011009,                   0,            0.002179,            0.002179,            0.002179
                  81,           0.0085016,           0.0018692,                   0,             0.99995,             0.99931,               0.995,             0.96833,           0.0046792,            0.001096,                   0,             0.00208,             0.00208,             0.00208
                  82,           0.0082927,            0.001823,                   0,             0.99995,             0.99931,               0.995,             0.96879,            0.004665,           0.0010919,                   0,            0.001981,            0.001981,            0.001981
                  83,           0.0083014,           0.0018376,                   0,             0.99995,             0.99931,               0.995,             0.96865,           0.0046473,           0.0010874,                   0,            0.001882,            0.001882,            0.001882
                  84,           0.0081217,           0.0018092,                   0,             0.99995,             0.99931,               0.995,             0.96926,           0.0046297,           0.0010828,                   0,            0.001783,            0.001783,            0.001783
                  85,           0.0081034,           0.0017794,                   0,             0.99996,             0.99931,               0.995,             0.96965,           0.0046189,           0.0010785,                   0,            0.001684,            0.001684,            0.001684
